#    Exp. Points             HP             MP            Strength           Vitality             Magic             Spirit            Dexterity            Chance
1        0               219 - 219        16 - 16         11 - 11             11 - 11            11 - 11            10 - 10             7 - 7              14 - 14
2        6               228 - 239        17 - 22         11 - 13             11 - 13            11 - 13            10 - 12             7 - 9              14 - 16
3        33              243 - 258        26 - 28         11 - 15             11 - 15            11 - 15            10 - 14             7 - 11             14 - 17
4        94              260 - 277        32 - 34         12 - 17             12 - 17            12 - 17            11 - 16             8 - 13             14 - 18
5        202             279 - 296        38 - 40         13 - 18             13 - 18            13 - 18            12 - 17             9 - 14             14 - 19
6        372             296 - 315        43 - 46         14 - 19             14 - 19            14 - 19            13 - 18             9 - 15             14 - 20
7        616             315 - 334        49 - 52         15 - 20             15 - 20            15 - 20            14 - 19             10 - 16            14 - 20
8        949             332 - 353        55 - 58         16 - 21             16 - 21            16 - 22            15 - 20             11 - 17            14 - 20
9        1384            351 - 372        60 - 64         17 - 22             17 - 22            17 - 23            16 - 21             12 - 18            14 - 20
10       1934            368 - 391        66 - 70         18 - 24             18 - 23            18 - 24            17 - 23             13 - 19            14 - 21
11       2614            385 - 410        72 - 76         19 - 25             19 - 24            19 - 25            18 - 24             13 - 20            14 - 21
12       3588            430 - 455        79 - 84         20 - 26             20 - 25            20 - 26            19 - 25             14 - 21            14 - 21
13       4610            468 - 496        86 - 91         21 - 27             21 - 27            21 - 27            20 - 26             15 - 22            14 - 21
14       5809            502 - 534        92 - 98         22 - 29             22 - 28            22 - 28            21 - 27             16 - 23            14 - 21
15       7200            536 - 572        99 - 105        23 - 30             23 - 29            23 - 29            22 - 29             17 - 24            14 - 21
16       8797            574 - 610       106 - 112        24 - 31             24 - 30            24 - 30            23 - 30             18 - 25            14 - 21
17       10614           608 - 648       112 - 119        26 - 33             25 - 31            25 - 32            24 - 31             19 - 26            14 - 21
18       12665           646 - 686       119 - 126        27 - 34             26 - 32            26 - 33            25 - 32             20 - 27            14 - 21
19       14965           680 - 724       125 - 133        28 - 35             27 - 33            27 - 34            26 - 33             21 - 28            14 - 21
20       17528           718 - 762       132 - 140        30 - 37             28 - 34            28 - 35            28 - 35             22 - 29            15 - 22
21       20368           752 - 800       139 - 147        31 - 38             29 - 35            29 - 36            29 - 36             22 - 29            15 - 22
22       24161           835 - 896       147 - 155        32 - 39             30 - 37            31 - 38            30 - 37             23 - 30            15 - 22
23       27694           899 - 960       156 - 164        34 - 41             31 - 38            32 - 39            32 - 39             24 - 31            15 - 22
24       31555           956 - 1024      163 - 172        35 - 42             32 - 39            33 - 40            33 - 40             25 - 32            15 - 22
25       35759          1020 - 1088      172 - 181        37 - 44             33 - 40            34 - 41            34 - 41             26 - 33            15 - 22
26       40321          1077 - 1152      179 - 189        38 - 45             34 - 41            35 - 42            35 - 42             27 - 34            15 - 22
27       45255          1141 - 1216      187 - 197        40 - 47             36 - 43            36 - 43            36 - 43             28 - 35            15 - 22
28       50576          1198 - 1280      195 - 206        41 - 48             37 - 44            37 - 44            38 - 45             29 - 36            15 - 22
29       56299          1262 - 1344      203 - 214        43 - 50             38 - 45            39 - 46            39 - 46             30 - 37            15 - 22
30       62438          1319 - 1408      211 - 223        44 - 51             39 - 46            40 - 47            40 - 47             31 - 38            16 - 23
31       69008          1383 - 1472      219 - 231        45 - 52             40 - 47            41 - 48            41 - 48             32 - 39            16 - 23
32       77066          1469 - 1558      228 - 240        47 - 54             41 - 48            42 - 49            43 - 50             33 - 40            16 - 23
33       84643          1555 - 1654      238 - 251        49 - 56             42 - 49            43 - 50            44 - 51             34 - 41            16 - 23
34       92701          1641 - 1750      246 - 260        50 - 57             43 - 50            44 - 51            45 - 52             35 - 42            17 - 24
35       101255         1737 - 1846      256 - 271        51 - 58             44 - 51            45 - 52            47 - 54             36 - 43            17 - 24
36       110320         1823 - 1942      264 - 280        52 - 59             45 - 52            46 - 53            48 - 55             37 - 44            17 - 24
37       119910         1919 - 2038      273 - 289        53 - 60             46 - 53            47 - 54            49 - 56             38 - 45            17 - 24
